band_gap,formation_energy_per_atom,nelements,elements,formula,material_id
0.0,-3.580733482063492,3,"O,Pr,Si",Pr5Si3O13,mp-1209689
0.0,-2.486634501333333,4,"Fe,Li,O,Si",Li3Fe2(SiO4)2,mp-1177678
0.0,-2.065518774285714,3,"Co,O,Si",Co2SiO4,mp-19071
0.0,-2.590495751057472,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-1177640
0.0,-2.591280778724138,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-780287
0.0,-2.595848674724139,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-769543
0.0,-2.586597474390805,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-769538
0.0,-2.098883425972222,3,"Bi,O,Si",SiBiO4,mp-1172356
0.0,-2.772051851794871,4,"Li,O,Si,V",LiV2(SiO4)2,mp-752915
0.0,-2.6524475395,4,"Fe,Mg,O,Si",MgFe(SiO3)2,mp-1221967
0.0,-2.5694989295454542,4,"Ca,Co,O,Si",CaCoSi2O7,mp-1341160
0.0,-1.650676960555556,3,"Co,O,Si",CoSiO4,mp-1172361
0.0,-2.334623316282051,4,"Fe,Li,O,Si",LiFe2(SiO4)2,mp-780871
0.0,-2.111793947083333,3,"O,Sb,Si",SiSbO4,mp-1142725
0.0,-1.262575320877192,4,"Ag,Li,O,Si",LiSi2(AgO)8,mp-1235249
0.0,-2.574886789090908,4,"Ca,Co,O,Si",CaCoSi2O7,mp-1262309
0.0,-1.522093008333333,3,"Ni,O,Si",SiNiO4,mp-1364379
0.0,-2.044731995627395,3,"Mn,O,Si",MnSiO4,mp-1249486
0.0,-2.262427856304347,3,"Al,O,Si",Al8SiO14,mp-1247816
0.0,-2.766991851794872,4,"Li,O,Si,V",LiV2(SiO4)2,mp-777484
0.0,-2.869277054895833,4,"Li,O,Si,Ti",Li9Ti5(SiO8)2,mp-766170
0.0,-3.042402821943573,4,"Na,O,Si,Zr",NaZrSi2O7,mp-725970
0.0,-2.400096732666667,4,"Co,Li,O,Si",Li3Co2(SiO4)2,mp-759510
0.0,-1.563445494999999,3,"O,Pd,Si",SiPdO3,mp-978490
0.0,-2.26236360411111,4,"Fe,Li,O,Si",Li2Fe2Si2O9,mp-758821
0.0,-2.8364629000000012,3,"O,Si,Sm",SmSiO3,mp-978506
0.0,-2.394241709666666,3,"Li,O,Si",LiSiO3,mp-1185414
0.0,-2.354524145275862,3,"Na,O,Si",NaSiO3,mp-1186167
0.0,-2.391746251,3,"O,Pa,Si",PaSiO3,mp-1186401
0.0,-2.5252317567500002,3,"Np,O,Si",NpSiO3,mp-1186349
0.0,-2.7644089860000003,3,"O,Sc,Si",ScSiO3,mp-1186993
0.0,-1.654687447333333,3,"Ag,O,Si",SiAgO3,mp-1186999
0.0,-1.6748588009999992,3,"Mo,O,Si",SiMoO3,mp-1186997
0.0,-2.815659758333333,3,"O,Si,Tb",TbSiO3,mp-1187364
0.0,-2.497889904999998,3,"O,Si,Th",ThSiO3,mp-1187425
0.0,-3.50728662440104,4,"B,Ce,O,Si",Ce3Si2BO10,mp-558019
0.0,-2.068175861666667,3,"Fe,O,Si",FeSiO4,mp-1102363
0.0,-1.860338147666668,3,"O,Si,Tl",TlSiO3,mp-1187529
0.0,-2.795143751,3,"O,Si,Y",YSiO3,mp-1187862
0.0,-3.205948754869792,4,"B,Eu,O,Si",Eu3Si2BO10,mp-1196416
0.0,-1.265288455,3,"Ba,O,Si",Ba3SiO,mp-754940
0.0,-3.071255264,3,"Eu,O,Si",EuSiO3,mp-866030
0.0,-1.820326181,3,"Bi,O,Si",SiBiO3,mp-972827
0.0,-0.9995801968333331,3,"B,O,Si",SiBO3,mp-972839
0.0,-0.9888648348333331,3,"B,O,Si",SiBO3,mp-972822
0.0,-2.14048463045,3,"K,O,Si",KSiO3,mp-974061
0.0,-2.715639010333333,3,"Lu,O,Si",LuSiO3,mp-973655
0.0,-2.704603747833334,4,"O,Si,Ti,Zn",TiZn(SiO3)2,mp-1041488
0.0,-2.453244832999998,3,"O,Si,U",USiO3,mp-1187767
0.0,-2.783655503999998,3,"Ho,O,Si",HoSiO3,mp-1184813
0.0,-0.590152650357142,4,"Cu,O,Rb,Si",Rb4CuSi2O7,mp-677813
0.0,0.9079231171954021,4,"Na,O,Si,Tb",NaTb(SiO3)2,mp-1385211
0.0,-1.23693231663793,4,"Na,O,Si,W",NaSi2W2O5,mp-1212767
0.0,-3.360424154,4,"N,O,Si,Y",Y4Si2NO8,mp-1207840
0.0,-2.087186367619046,4,"Ca,O,Si,U",CaU2(SiO8)2,mp-1202413
0.0,-2.855667579499999,4,"Ba,Cu,O,Si",BaCu(SiO3)2,mp-555332
0.0,-2.856422413472222,4,"Li,O,Si,Ti",Li7Ti3(SiO6)2,mp-766202
0.0,-2.126365950555555,4,"Li,Ni,O,Si",Li7Si2(NiO4)3,mp-756986
0.0,-2.919280960128205,4,"Mg,O,Si,Ti",MgTi2(SiO4)2,mp-2219565
0.0,-1.927848014291188,4,"Mn,O,Sb,Si",Mn13Si2(SbO14)2,mp-1331450
0.0,-1.534689341956521,4,"Mg,O,Si,U",MgU2(SiO9)2,mp-1211186
0.0,-2.087849672619046,4,"Mg,O,Si,U",MgU2(SiO8)2,mp-1190722
0.0,-2.810445010555556,3,"Al,O,Si",Al2SiO6,mp-1196880
0.0,-2.058081335454545,4,"Mg,O,Si,U",MgU2Si2O17,mp-1180497
0.0,-1.710844095555554,4,"Mo,O,Sb,Si",Si2Sb2Mo13O28,mp-1044616
0.0,-0.898826280888888,4,"Cu,O,Sb,Si",Cu13Si2(SbO14)2,mp-1044487
0.0,-3.213836197916665,4,"Al,Ca,O,Si",Ca2AlSi2O7,mp-1214098
0.0,-2.114110612142857,3,"Ni,O,Si",Si(NiO2)2,mp-19072
0.0,-2.9785083429166663,4,"Cu,O,Si,Sr",Sr2CuSi2O7,mp-15748
0.0,-2.129220831071429,3,"Co,O,Si",Co2SiO4,mp-21856
0.0,-3.15131592941092,4,"Eu,Mn,O,Si",Eu2MnSi2O7,mp-1190662
0.0,-2.312443744057471,4,"Mn,O,Si,Sr",SrMn2(SiO5)2,mp-1218300
0.0,-2.672255224000001,4,"Al,O,Si,Sr",SrAl2(SiO5)2,mp-1194392
0.0,-2.7611882820833342,4,"Ba,Fe,O,Si",BaFe2Si2O7,mp-1214455
0.0,-2.833047859375,3,"Ca,O,Si",Ca2SiO5,mp-1182405
0.0,-3.176626034531249,4,"Ce,O,S,Si",Ce4Si2S3O7,mp-561726
0.0,-3.110782490595702,4,"Ce,O,Se,Si",Ce4Si2Se3O7,mp-541460
0.0,-3.187739756969696,4,"O,Pr,Si,Y",PrYSi2O7,mp-1264671
0.0,-1.653616063043478,4,"Cu,O,Si,U",U2Cu(SiO9)2,mp-1191344
0.0,-3.035138234301277,4,"K,Nd,O,Si",K3NdSi2O7,mp-8614
0.0,-0.20894898278571303,4,"K,O,Pb,Si",K2Si2Pb2O,mp-643141
0.0,-1.921594353620688,4,"Fe,O,Si,Sn",Fe4Si2Sn7O16,mp-628588
0.0,-2.163599593239565,4,"Fe,Mn,O,Si",Mn13Fe(SiO11)2,mp-1210713
0.0,-3.101674979471265,4,"Na,O,Si,Ti",NaTi(SiO3)2,mp-6465
0.0,-1.055960064396552,3,"Na,O,Si",Na2SiO9,mp-1180535
0.0,-1.646729671666666,4,"Ca,Mg,O,Si",CaMg(SiO)2,mp-554198
0.0,-1.721882771785715,3,"Fe,O,Si",Fe4SiO9,mp-1225529
0.0,-3.139723621666666,3,"Gd,O,Si",GdSiO4,mp-1224635
0.0,-2.527914951666666,3,"Ca,O,Si",CaSiO4,mp-1191741
0.0,-2.755577244833333,4,"O,Si,Ti,Zn",TiZn(SiO3)2,mp-1263932
0.0,-2.8019711525,4,"Ca,Cu,O,Si",CaCu(SiO3)2,mp-1250134
0.0,-3.1592332528333342,4,"Ca,O,Si,Ti",CaTi(SiO3)2,mp-1157680
0.0,-3.022462560333333,4,"Mg,O,Si,Ti",MgTi(SiO3)2,mp-1154515
0.0,-3.066810878749999,4,"Ca,Cr,O,Si",CaCr(SiO3)2,mp-1157256
